Longitudal Position,Offset,Height,Side
-114,0,17.4,Inner
-114,0.7,17.4,Outer
-114,0.68,16.92,Outer
-114,0.67,16.43,Outer
-114,0.65,15.95,Outer
-114,0.63,15.47,Outer
-114,0.61,14.98,Outer
-114,0.59,14.5,Outer
-114,0.58,14.02,Outer
-114,0.56,13.53,Outer
-114,0.54,13.05,Outer
-114,0.52,12.57,Outer
-114,0.5,12.08,Outer
-114,0.48,11.6,Outer
-114,0.46,11.12,Outer
-114,0.43,10.63,Outer
-114,0.4,10.15,Outer
-114,0.36,9.67,Outer
-114,0.3,9.18,Outer
-114,0.21,8.7,Outer
-114,0.11,8.22,Outer
-114,0.01,7.73,Outer
-114,0,7.71,Outer
-108,0,17.4,Inner
-108,1.86,17.4,Outer
-108,1.83,16.92,Outer
-108,1.79,16.43,Outer
-108,1.75,15.95,Outer
-108,1.72,15.47,Outer
-108,1.68,14.98,Outer
-108,1.65,14.5,Outer
-108,1.61,14.02,Outer
-108,1.57,13.53,Outer
-108,1.53,13.05,Outer
-108,1.49,12.57,Outer
-108,1.44,12.08,Outer
-108,1.39,11.6,Outer
-108,1.34,11.12,Outer
-108,1.27,10.63,Outer
-108,1.26,10.56,Outer
-108,1.2,10.15,Outer
-108,1.12,9.67,Outer
-108,1.03,9.18,Outer
-108,0.92,8.7,Outer
-108,0.78,8.22,Outer
-108,0.64,7.73,Outer
-108,0.48,7.25,Outer
-108,0.31,6.77,Outer
-108,0.15,6.28,Outer
-108,0,5.85,Outer
-102,0,17.4,Inner
-102,3,17.4,Outer
-102,2.96,16.92,Outer
-102,2.91,16.43,Outer
-102,2.87,15.95,Outer
-102,2.83,15.47,Outer
-102,2.78,14.98,Outer
-102,2.74,14.5,Outer
-102,2.69,14.02,Outer
-102,2.64,13.53,Outer
-102,2.59,13.05,Outer
-102,2.54,12.57,Outer
-102,2.48,12.08,Outer
-102,2.42,11.6,Outer
-102,2.35,11.12,Outer
-102,2.26,10.63,Outer
-102,2.25,10.56,Outer
-102,2.16,10.15,Outer
-102,2.05,9.67,Outer
-102,1.92,9.18,Outer
-102,1.77,8.7,Outer
-102,1.6,8.22,Outer
-102,1.41,7.73,Outer
-102,1.21,7.25,Outer
-102,0.99,6.77,Outer
-102,0.76,6.28,Outer
-102,0.53,5.8,Outer
-102,0.29,5.32,Outer
-102,0.04,4.83,Outer
-102,0,4.76,Outer
-96,0,17.4,Inner
-96,4.11,17.4,Outer
-96,4.06,16.92,Outer
-96,4.02,16.43,Outer
-96,3.98,15.95,Outer
-96,3.93,15.47,Outer
-96,3.88,14.98,Outer
-96,3.84,14.5,Outer
-96,3.79,14.02,Outer
-96,3.74,13.53,Outer
-96,3.69,13.05,Outer
-96,3.63,12.57,Outer
-96,3.57,12.08,Outer
-96,3.51,11.6,Outer
-96,3.44,11.12,Outer
-96,3.36,10.63,Outer
-96,3.35,10.56,Outer
-96,3.26,10.15,Outer
-96,3.14,9.67,Outer
-96,3,9.18,Outer
-96,2.83,8.7,Outer
-96,2.64,8.22,Outer
-96,2.41,7.73,Outer
-96,2.16,7.25,Outer
-96,1.88,6.77,Outer
-96,1.58,6.28,Outer
-96,1.27,5.8,Outer
-96,0.95,5.32,Outer
-96,0.62,4.83,Outer
-96,0.28,4.35,Outer
-96,0,3.96,Outer
-90,0,17.4,Inner
-90,5.19,17.4,Outer
-90,5.15,16.92,Outer
-90,5.11,16.43,Outer
-90,5.06,15.95,Outer
-90,5.02,15.47,Outer
-90,4.98,14.98,Outer
-90,4.93,14.5,Outer
-90,4.88,14.02,Outer
-90,4.83,13.53,Outer
-90,4.78,13.05,Outer
-90,4.73,12.57,Outer
-90,4.68,12.08,Outer
-90,4.62,11.6,Outer
-90,4.55,11.12,Outer
